Epoch 1: Train Loss: 0.011804, Val Loss: 0.001096, Train SINR: -10.9dB, Val SINR: -4.9dB, LR: 1.0e-04
Epoch 2: Train Loss: 0.000611, Val Loss: 0.000335, Train SINR: -3.0dB, Val SINR: -0.9dB, LR: 1.0e-04
Epoch 3: Train Loss: 0.000285, Val Loss: 0.000208, Train SINR: -0.5dB, Val SINR: 0.6dB, LR: 1.0e-04
Epoch 4: Train Loss: 0.000187, Val Loss: 0.000155, Train SINR: 0.8dB, Val SINR: 1.5dB, LR: 1.0e-04
Epoch 5: Train Loss: 0.000139, Val Loss: 0.000116, Train SINR: 1.8dB, Val SINR: 2.5dB, LR: 1.0e-04
Epoch 6: Train Loss: 0.000115, Val Loss: 0.000104, Train SINR: 2.5dB, Val SINR: 3.2dB, LR: 1.0e-04
Epoch 7: Train Loss: 0.000099, Val Loss: 0.000091, Train SINR: 3.2dB, Val SINR: 3.8dB, LR: 1.0e-04
Epoch 8: Train Loss: 0.000089, Val Loss: 0.000080, Train SINR: 3.8dB, Val SINR: 4.5dB, LR: 1.0e-04
Epoch 9: Train Loss: 0.000080, Val Loss: 0.000075, Train SINR: 4.4dB, Val SINR: 5.0dB, LR: 1.0e-04
Epoch 10: Train Loss: 0.000073, Val Loss: 0.000069, Train SINR: 5.0dB, Val SINR: 5.6dB, LR: 1.0e-04
Epoch 11: Train Loss: 0.000067, Val Loss: 0.000062, Train SINR: 5.6dB, Val SINR: 6.3dB, LR: 1.0e-04
Epoch 12: Train Loss: 0.000062, Val Loss: 0.000057, Train SINR: 6.1dB, Val SINR: 6.8dB, LR: 1.0e-04
Epoch 13: Train Loss: 0.000057, Val Loss: 0.000054, Train SINR: 6.6dB, Val SINR: 7.2dB, LR: 1.0e-04
Epoch 14: Train Loss: 0.000053, Val Loss: 0.000049, Train SINR: 7.1dB, Val SINR: 7.7dB, LR: 1.0e-04
Epoch 15: Train Loss: 0.000050, Val Loss: 0.000048, Train SINR: 7.4dB, Val SINR: 8.0dB, LR: 1.0e-04
Epoch 16: Train Loss: 0.000046, Val Loss: 0.000044, Train SINR: 7.9dB, Val SINR: 8.5dB, LR: 1.0e-04
Epoch 17: Train Loss: 0.000043, Val Loss: 0.000040, Train SINR: 8.4dB, Val SINR: 9.0dB, LR: 1.0e-04
Epoch 18: Train Loss: 0.000040, Val Loss: 0.000039, Train SINR: 8.8dB, Val SINR: 9.2dB, LR: 1.0e-04
Epoch 19: Train Loss: 0.000037, Val Loss: 0.000036, Train SINR: 9.2dB, Val SINR: 9.6dB, LR: 1.0e-04
Epoch 20: Train Loss: 0.000035, Val Loss: 0.000034, Train SINR: 9.6dB, Val SINR: 10.0dB, LR: 1.0e-04
Epoch 21: Train Loss: 0.000033, Val Loss: 0.000032, Train SINR: 10.0dB, Val SINR: 10.3dB, LR: 1.0e-04
Epoch 22: Train Loss: 0.000031, Val Loss: 0.000030, Train SINR: 10.4dB, Val SINR: 10.7dB, LR: 1.0e-04
Epoch 23: Train Loss: 0.000029, Val Loss: 0.000028, Train SINR: 10.7dB, Val SINR: 11.0dB, LR: 1.0e-04
Epoch 24: Train Loss: 0.000027, Val Loss: 0.000027, Train SINR: 11.0dB, Val SINR: 11.3dB, LR: 1.0e-04
Epoch 25: Train Loss: 0.000026, Val Loss: 0.000026, Train SINR: 11.4dB, Val SINR: 11.5dB, LR: 1.0e-04
Epoch 26: Train Loss: 0.000025, Val Loss: 0.000025, Train SINR: 11.6dB, Val SINR: 11.7dB, LR: 1.0e-04
Epoch 27: Train Loss: 0.000024, Val Loss: 0.000024, Train SINR: 11.8dB, Val SINR: 12.0dB, LR: 1.0e-04
Epoch 28: Train Loss: 0.000023, Val Loss: 0.000023, Train SINR: 12.0dB, Val SINR: 12.1dB, LR: 1.0e-04
Epoch 29: Train Loss: 0.000023, Val Loss: 0.000023, Train SINR: 12.1dB, Val SINR: 12.2dB, LR: 1.0e-04
Epoch 30: Train Loss: 0.000022, Val Loss: 0.000022, Train SINR: 12.3dB, Val SINR: 12.3dB, LR: 1.0e-04
Epoch 31: Train Loss: 0.000022, Val Loss: 0.000022, Train SINR: 12.4dB, Val SINR: 12.5dB, LR: 1.0e-04
Epoch 32: Train Loss: 0.000021, Val Loss: 0.000021, Train SINR: 12.5dB, Val SINR: 12.6dB, LR: 1.0e-04
Epoch 33: Train Loss: 0.000021, Val Loss: 0.000021, Train SINR: 12.6dB, Val SINR: 12.7dB, LR: 1.0e-04
Epoch 34: Train Loss: 0.000020, Val Loss: 0.000021, Train SINR: 12.7dB, Val SINR: 12.8dB, LR: 1.0e-04
Epoch 35: Train Loss: 0.000020, Val Loss: 0.000020, Train SINR: 12.9dB, Val SINR: 12.9dB, LR: 1.0e-04
Epoch 36: Train Loss: 0.000020, Val Loss: 0.000020, Train SINR: 13.0dB, Val SINR: 13.0dB, LR: 1.0e-04
Epoch 37: Train Loss: 0.000020, Val Loss: 0.000021, Train SINR: 13.1dB, Val SINR: 12.6dB, LR: 1.0e-04
Epoch 38: Train Loss: 0.000019, Val Loss: 0.000020, Train SINR: 13.2dB, Val SINR: 13.2dB, LR: 1.0e-04
Epoch 39: Train Loss: 0.000019, Val Loss: 0.000020, Train SINR: 13.3dB, Val SINR: 13.3dB, LR: 1.0e-04
Epoch 40: Train Loss: 0.000019, Val Loss: 0.000019, Train SINR: 13.4dB, Val SINR: 13.4dB, LR: 1.0e-04
